epoch,acc,loss,lr,val_acc,val_loss
0,0.9580344193873833,0.11996549363756014,5e-05,0.9251572650411855,0.2194574059774269
1,0.9596207658362859,0.1147382838472075,5e-05,0.9248318547787874,0.23413722966740708
2,0.9603435967109396,0.11153469369085699,5e-05,0.9321803217348845,0.20698997698451896
3,0.9614547754533964,0.11313973500982763,5e-05,0.9299044733462126,0.224888571750236
4,0.9587733229088313,0.11787594531296369,5e-05,0.9326385166334069,0.20364614009177667
5,0.9690867826766467,0.08699416054785643,2.5e-05,0.9344866545304008,0.2030726377147126
6,0.9702447018946808,0.08373243012287021,2.5e-05,0.9353476482888926,0.2185194400211596
7,0.9691420164880398,0.08701463713001706,2.5e-05,0.9348670296047045,0.20276907578644687
8,0.9717703888139787,0.08170874315333722,2.5e-05,0.9352574555770211,0.22204000554433467
9,0.9735929042557397,0.07531948396570112,2.5e-05,0.9366434511931047,0.22331040810863867
10,0.9720699677582121,0.07890602063115906,2.5e-05,0.9327510667883832,0.22968065900128315
11,0.9734394524238302,0.07434809127660019,2.5e-05,0.9370482403299083,0.21926344130814593
12,0.9754096893043435,0.07041824670440365,2.5e-05,0.9351296798042629,0.23940037502565562
13,0.9742887609636236,0.07237361945551529,2.5e-05,0.9366324383279552,0.2265073226251685
14,0.9766288774018737,0.06539731769071971,2.5e-05,0.9387522158415421,0.229204148730265
15,0.9766690861474503,0.0652097940701802,2.5e-05,0.9396347377611243,0.20940502726881158
16,0.9759194063149083,0.06767794069532483,2.5e-05,0.9396500960640285,0.21457360884512877
17,0.9772100594685427,0.0666357234095351,2.5e-05,0.9393489671790082,0.2177197083748267
